"Date","Solar To Home","Solar To Battery","Solar To Grid","Grid To Home","Grid To Battery","Battery To Home","Battery To Grid"
"2024-07-01 00:00","0","0","0","0.36","1.68","0","0"
"2024-07-01 00:30","0","0","0","0.36","1.68","0","0"
"2024-07-01 01:00","0","0","0","0.28","0.74","0","0"
"2024-07-01 01:30","0","0","0","0.18","0","0","0"
"2024-07-01 02:00","0","0","0","0.19","0","0","0"
"2024-07-01 02:30","0","0","0","0.21","0","0","0"
"2024-07-01 03:00","0","0","0","0.18","0","0.01","0"
"2024-07-01 03:30","0","0","0","0.62","0","0.01","0"
"2024-07-01 04:00","0","0","0","2.01","0","0.01","0"
"2024-07-01 04:30","0","0","0","1.75","0","0","0"
"2024-07-01 05:00","0.01","0","0","0.23","0","0.17","0"
"2024-07-01 05:30","0.02","0","0","0.01","0","0.17","0"
"2024-07-01 06:00","0.08","0","0","0","0","0.11","0"
"2024-07-01 06:30","0.17","0.02","0","0","0","0.02","0"
"2024-07-01 07:00","0.2","0.1","0","0","0","0","0"
"2024-07-01 07:30","0.28","0.05","0","0","0","0.33","0"
"2024-07-01 08:00","0.43","0.04","0","0","0","0.36","0"
"2024-07-01 08:30","0.32","0.23","0","0","0","0.1","0"
"2024-07-01 09:00","0.5","0.3","0","0","0","0.2","0"
"2024-07-01 09:30","0.37","0.52","0","0","0","0.13","0"
"2024-07-01 10:00","0.29","0.5","0.24","0","0","0","0"
"2024-07-01 10:30","0.51","0.04","0.44","0","0","0.01","0.02"
"2024-07-01 11:00","0.91","0.03","0.09","0.16","0","0.34","0.08"
"2024-07-01 11:30","1.19","0.01","0","1.2","0","0.6","0"
"2024-07-01 12:00","0.39","0.59","0.01","0","0","0","0"
"2024-07-01 12:30","0.41","0.37","0.28","0","0","0","0"
"2024-07-01 13:00","0.4","0","0.66","0","0","0","0"
"2024-07-01 13:30","0.51","0.03","0.08","0.01","0","0.19","0.01"
"2024-07-01 14:00","0.37","0.01","0.23","0","0","0","0"
"2024-07-01 14:30","0.36","0","0.21","0","0","0","0"
"2024-07-01 15:00","0.43","0","0.24","0","0","0","0"
"2024-07-01 15:30","0.23","0.01","0","0","0","0.11","0"
"2024-07-01 16:00","0.2","0.05","0","0","0","0.1","0"
"2024-07-01 16:30","0.21","0.01","0","0","0","0.08","0"
"2024-07-01 17:00","0.3","0.21","0.05","0","0","0","0.01"
"2024-07-01 17:30","0.5","0.07","0","0.52","0","0.82","0.02"
"2024-07-01 18:00","0.32","0","0","0.64","0","0.94","0"
"2024-07-01 18:30","0.29","0.02","0","0","0","0.58","0"
"2024-07-01 19:00","0.21","0.04","0","0","0","0.4","0"
"2024-07-01 19:30","0.11","0","0","0","0","0.36","0"
"2024-07-01 20:00","0.05","0","0","0.01","0","0.64","0"
"2024-07-01 20:30","0.01","0","0","0","0","0.45","0"
"2024-07-01 21:00","0","0","0","0","0","0.96","0.01"
"2024-07-01 21:30","0","0","0","0.01","0","0.39","0"
"2024-07-01 22:00","0","0","0","0","0","0.29","0"
"2024-07-01 22:30","0","0","0","0.23","0","0.96","0"
"2024-07-01 23:00","0","0","0","0.32","0","1.12","0"
"2024-07-01 23:30","0","0","0","0","0","0","0"
"2024-07-02 00:00","0","0","0","4","1.66","0","0"
"2024-07-02 00:30","0","0","0","3.97","1.66","0","0"
"2024-07-02 01:00","0","0","0","1.73","1.66","0","0"
"2024-07-02 01:30","0","0","0","0.36","1.66","0","0"
"2024-07-02 02:00","0","0","0","0.3","1.08","0","0"
"2024-07-02 02:30","0","0","0","0.19","0.05","0","0"
"2024-07-02 03:00","0","0","0","0.21","0","0","0"
"2024-07-02 03:30","0","0","0","0.21","0","0","0"
"2024-07-02 04:00","0","0","0","0.19","0","0","0"
"2024-07-02 04:30","0","0","0","0.19","0","0","0"
"2024-07-02 05:00","0","0","0","0.01","0","0.19","0"
"2024-07-02 05:30","0.01","0","0","0","0","0.17","0.01"
"2024-07-02 06:00","0.13","0","0","0","0","0.05","0"
"2024-07-02 06:30","0.18","0.01","0","0","0","0.01","0.01"
"2024-07-02 07:00","0.17","0","0","0","0","0.04","0"
"2024-07-02 07:30","0.18","0.04","0","0","0","0.01","0"
"2024-07-02 08:00","0.3","0.07","0","0.01","0","0.45","0"
"2024-07-02 08:30","0.28","0.31","0.01","0","0","0.04","0"
"2024-07-02 09:00","0.29","0.52","0.01","0","0.01","0","0"
"2024-07-02 09:30","0.28","0.22","0.1","0","0","0","0"
"2024-07-02 10:00","0.25","0","0.38","0","0","0","0"
