"Date","Solar To Home","Solar To Battery","Solar To Grid","Grid To Home","Grid To Battery","Battery To Home","Battery To Grid"
"2024-09-01 00:00","0","0","0","5.36","1.65","0","0"
"2024-09-01 00:30","0","0","0","3.93","1.65","0","0"
"2024-09-01 01:00","0","0","0","3.9","1.65","0","0"
"2024-09-01 01:30","0","0","0","3.92","1.65","0","0"
"2024-09-01 02:00","0","0","0","3.86","1.32","0","0"
"2024-09-01 02:30","0","0","0","3.76","0.11","0","0"
"2024-09-01 03:00","0","0","0","1.13","0","0","0"
"2024-09-01 03:30","0","0","0","0.18","0","0","0"
"2024-09-01 04:00","0","0","0","0.2","0","0","0"
"2024-09-01 04:30","0","0","0","0.18","0","0","0"
"2024-09-01 05:00","0","0","0","0.01","0","0.2","0"
"2024-09-01 05:30","0","0","0","0","0","0.21","0"
"2024-09-01 06:00","0.01","0","0","0","0","0.15","0.01"
"2024-09-01 06:30","0.03","0","0","0","0","0.15","0.02"
"2024-09-01 07:00","0.05","0","0","0","0","0.15","0"
"2024-09-01 07:30","0.12","0.01","0","0","0","0.06","0"
"2024-09-01 08:00","0.29","0.03","0","0.15","0","0.23","0"
"2024-09-01 08:30","0.41","0.1","0","0.03","0","0.36","0"
"2024-09-01 09:00","0.33","0.28","0","0","0","0","0"
"2024-09-01 09:30","0.79","0.05","0","0.39","0.01","0.51","0"
"2024-09-01 10:00","0.29","0.4","0","0","0","0","0"
"2024-09-01 10:30","0.32","0.4","0","0","0","0","0"
"2024-09-01 11:00","0.33","0.81","0.23","0","0","0","0"
"2024-09-01 11:30","0.71","0.01","0.71","0","0","0.05","0.03"
"2024-09-01 12:00","0.43","0.01","1.23","0","0","0","0"
"2024-09-01 12:30","0.46","0","1.18","0","0","0","0"
"2024-09-01 13:00","0.77","0","1.08","0","0","0","0.02"
"2024-09-01 13:30","0.34","0","1.48","0","0","0","0"
"2024-09-01 14:00","1","0","0.87","0","0","0","0"
"2024-09-01 14:30","0.85","0.01","1.08","0","0","0","0"
"2024-09-01 15:00","0.6","0.08","0.28","0","0","0.07","0.02"
"2024-09-01 15:30","0.22","0.03","0.08","0","0","0","0"
"2024-09-01 16:00","0.21","0","0.15","0","0","0","0"
"2024-09-01 16:30","0.19","0","0.39","0","0","0","0"
"2024-09-01 17:00","0.3","0","0","0.42","0","1.54","0.02"
"2024-09-01 17:30","0.18","0","0","0","0","0.77","0"
"2024-09-01 18:00","0.14","0","0","0","0","0.1","0"
"2024-09-01 18:30","0.13","0","0","0","0","0.09","0"
"2024-09-01 19:00","0.03","0","0","0.15","0","0.71","0"
"2024-09-01 19:30","0","0","0","0.45","0","1.9","0"
"2024-09-01 20:00","0","0","0","0","0","0.43","0"
"2024-09-01 20:30","0","0","0","0","0","0.3","0.01"
"2024-09-01 21:00","0","0","0","0","0","0.28","0"
"2024-09-01 21:30","0","0","0","0","0","0.31","0"
"2024-09-01 22:00","0","0","0","0","0","0.26","0"
"2024-09-01 22:30","0","0","0","0","0","0.19","0"
"2024-09-01 23:00","0","0","0","0","0","0.21","0"
"2024-09-01 23:30","0","0","0","0","0","0.2","0"
"2024-09-02 00:00","0","0","0","0.33","1.62","0","0"
"2024-09-02 00:30","0","0","0","0.34","1.62","0","0"
"2024-09-02 01:00","0","0","0","0.35","1.62","0","0"
"2024-09-02 01:30","0","0","0","0.32","1.62","0","0"
"2024-09-02 02:00","0","0","0","0.3","1.15","0","0"
"2024-09-02 02:30","0","0","0","0.18","0.01","0","0"
"2024-09-02 03:00","0","0","0","0.18","0","0","0"
"2024-09-02 03:30","0","0","0","0.19","0","0","0"
"2024-09-02 04:00","0","0","0","1.42","0","0","0"
