LCLid,stdorToU,DateTime,consumption_Wh
MAC000034,Std,2013-01-01 00:00:00,3094.0001
MAC000034,Std,2013-01-01 00:30:00,2913.0001
MAC000034,Std,2013-01-01 01:00:00,2842.9999000000003
MAC000034,Std,2013-01-01 01:30:00,2990.9999
MAC000034,Std,2013-01-01 02:00:00,2706.0001
MAC000034,Std,2013-01-01 02:30:00,2756.0
MAC000034,Std,2013-01-01 03:00:00,1747.0
MAC000034,Std,2013-01-01 03:30:00,854.0
MAC000034,Std,2013-01-01 04:00:00,1260.0
MAC000034,Std,2013-01-01 04:30:00,1053.0
MAC000034,Std,2013-01-01 05:00:00,1159.0
MAC000034,Std,2013-01-01 05:30:00,1063.0
MAC000034,Std,2013-01-01 06:00:00,894.0
MAC000034,Std,2013-01-01 06:30:00,848.0
MAC000034,Std,2013-01-01 07:00:00,48.0
MAC000034,Std,2013-01-01 07:30:00,56.0
MAC000034,Std,2013-01-01 08:00:00,48.0
MAC000034,Std,2013-01-01 08:30:00,55.0
MAC000034,Std,2013-01-01 09:00:00,60.0
MAC000034,Std,2013-01-01 09:30:00,132.0
MAC000034,Std,2013-01-01 10:00:00,158.0
MAC000034,Std,2013-01-01 10:30:00,181.0
MAC000034,Std,2013-01-01 11:00:00,117.0
MAC000034,Std,2013-01-01 11:30:00,203.0
MAC000034,Std,2013-01-01 12:00:00,97.0
MAC000034,Std,2013-01-01 12:30:00,45.0
MAC000034,Std,2013-01-01 13:00:00,46.0
MAC000034,Std,2013-01-01 13:30:00,84.0
MAC000034,Std,2013-01-01 14:00:00,94.0
MAC000034,Std,2013-01-01 14:30:00,94.0
MAC000034,Std,2013-01-01 15:00:00,42.0
MAC000034,Std,2013-01-01 15:30:00,44.0
MAC000034,Std,2013-01-01 16:00:00,56.0
MAC000034,Std,2013-01-01 16:30:00,34.0
MAC000034,Std,2013-01-01 17:00:00,59.0
MAC000034,Std,2013-01-01 17:30:00,69.0
MAC000034,Std,2013-01-01 18:00:00,97.0
MAC000034,Std,2013-01-01 18:30:00,153.0
MAC000034,Std,2013-01-01 19:00:00,106.0
MAC000034,Std,2013-01-01 19:30:00,81.0
MAC000034,Std,2013-01-01 20:00:00,91.0
MAC000034,Std,2013-01-01 20:30:00,69.0
MAC000034,Std,2013-01-01 21:00:00,84.0
MAC000034,Std,2013-01-01 21:30:00,88.0
MAC000034,Std,2013-01-01 22:00:00,96.0
MAC000034,Std,2013-01-01 22:30:00,177.0
MAC000034,Std,2013-01-01 23:00:00,206.0
MAC000034,Std,2013-01-01 23:30:00,160.0
MAC000034,Std,2013-01-02 00:00:00,3467.9999000000003
MAC000034,Std,2013-01-02 00:30:00,3152.0
MAC000034,Std,2013-01-02 01:00:00,3138.0
MAC000034,Std,2013-01-02 01:30:00,3015.0001
MAC000034,Std,2013-01-02 02:00:00,2971.9999000000003
MAC000034,Std,2013-01-02 02:30:00,2734.0
MAC000034,Std,2013-01-02 03:00:00,1497.0
MAC000034,Std,2013-01-02 03:30:00,1147.0
MAC000034,Std,2013-01-02 04:00:00,1262.0
MAC000034,Std,2013-01-02 04:30:00,1128.0
MAC000034,Std,2013-01-02 05:00:00,909.0
MAC000034,Std,2013-01-02 05:30:00,1406.9999
MAC000034,Std,2013-01-02 06:00:00,806.0
MAC000034,Std,2013-01-02 06:30:00,427.0
MAC000034,Std,2013-01-02 07:00:00,39.0
MAC000034,Std,2013-01-02 07:30:00,52.0
MAC000034,Std,2013-01-02 08:00:00,45.0
MAC000034,Std,2013-01-02 08:30:00,70.0
MAC000034,Std,2013-01-02 09:00:00,114.0
MAC000034,Std,2013-01-02 09:30:00,70.0
MAC000034,Std,2013-01-02 10:00:00,51.0
MAC000034,Std,2013-01-02 10:30:00,82.0
MAC000034,Std,2013-01-02 11:00:00,114.0
MAC000034,Std,2013-01-02 11:30:00,98.0
MAC000034,Std,2013-01-02 12:00:00,217.0
MAC000034,Std,2013-01-02 12:30:00,116.0
MAC000034,Std,2013-01-02 13:00:00,98.0
MAC000034,Std,2013-01-02 13:30:00,137.0
MAC000034,Std,2013-01-02 14:00:00,184.0
MAC000034,Std,2013-01-02 14:30:00,135.0
MAC000034,Std,2013-01-02 15:00:00,96.0
MAC000034,Std,2013-01-02 15:30:00,184.0
MAC000034,Std,2013-01-02 16:00:00,74.0
MAC000034,Std,2013-01-02 16:30:00,50.0
MAC000034,Std,2013-01-02 17:00:00,71.0
MAC000034,Std,2013-01-02 17:30:00,83.0
MAC000034,Std,2013-01-02 18:00:00,82.0
MAC000034,Std,2013-01-02 18:30:00,296.0
MAC000034,Std,2013-01-02 19:00:00,210.0
MAC000034,Std,2013-01-02 19:30:00,215.0
MAC000034,Std,2013-01-02 20:00:00,222.0
MAC000034,Std,2013-01-02 20:30:00,198.0
MAC000034,Std,2013-01-02 21:00:00,175.0
MAC000034,Std,2013-01-02 21:30:00,171.0
MAC000034,Std,2013-01-02 22:00:00,154.0
MAC000034,Std,2013-01-02 22:30:00,216.0
MAC000034,Std,2013-01-02 23:00:00,191.0
MAC000034,Std,2013-01-02 23:30:00,197.0
MAC000034,Std,2013-01-03 00:00:00,3509.0001
MAC000034,Std,2013-01-03 00:30:00,3115.9999
MAC000034,Std,2013-01-03 01:00:00,2960.0
MAC000034,Std,2013-01-03 01:30:00,2730.9999000000003
MAC000034,Std,2013-01-03 02:00:00,2788.0001
MAC000034,Std,2013-01-03 02:30:00,2658.9999
MAC000034,Std,2013-01-03 03:00:00,1536.0
MAC000034,Std,2013-01-03 03:30:00,976.0
